+-------------------------------------------------------------------------------------+
| actor                                                             |  average rating |
| Joan Allen                                                        |             8.1 |
| Cary-Hiroyuki Tagawa                                              |             8.1 |
| Sarah Roemer                                                      |             8.1 |
| Toni Collette                                                     |             8.1 |
| Philip Seymour Hoffman                                            |             8.1 |
| Eric Bana                                                         |             8.1 |
| Barry Humphries                                                   |             8.1 |
| Jay Baruchel                                                      |             8.1 |
| Gerard Butler                                                     |             8.1 |
| Christopher Mintz-Plasse                                          |             8.1 |
| Craig Ferguson                                                    |             8.1 |
| Emile Hirsch                                                      |             8.1 |
| Vince Vaughn                                                      |             8.1 |
| Catherine Keener                                                  |             8.1 |
| Marcia Gay Harden                                                 |             8.1 |
| Tommy Lee Jones                                                   |             8.1 |
| Javier Bardem                                                     |             8.1 |
| Josh Brolin                                                       |             8.1 |
| Hilary Swank                                                      |             8.1 |
| Don Cheadle                                                       |             8.1 |
| Sophie Okonedo                                                    |             8.1 |
| Xolani Mali                                                       |             8.1 |
| Sang-kyung Kim                                                    |             8.1 |
| Roe-ha Kim                                                        |             8.1 |
| Jae-ho Song                                                       |             8.1 |
| David Carradine                                                   |             8.1 |
| Daryl Hannah                                                      |             8.1 |
| Ellen DeGeneres                                                   |             8.1 |
| Alexander Gould                                                   |             8.1 |
| Willem Dafoe                                                      |             8.1 |
| Christopher Walken                                                |             8.1 |
| Emilio Echevarría                                                 |             8.1 |
| Goya Toledo                                                       |             8.1 |
| Álvaro Guerrero                                                   |             8.1 |
| Raghuvir Yadav                                                    |             8.1 |
| Gracy Singh                                                       |             8.1 |
