+-------------------------------------------------------------------------------------+
| actor                                                             | number of films |
| Dorothy Comingore                                                 |               1 |
| Agnes Moorehead                                                   |               1 |
| Peter Lorre                                                       |               1 |
| Ellen Widmann                                                     |               1 |
| Inge Landgut                                                      |               1 |
| Otto Wernicke                                                     |               1 |
| Brigitte Helm                                                     |               1 |
| Alfred Abel                                                       |               1 |
| Gustav Fröhlich                                                   |               1 |
| Rudolf Klein-Rogge                                                |               1 |
| Edna Purviance                                                    |               1 |
| Jackie Coogan                                                     |               1 |
| Carl Miller                                                       |               1 |
| Noémie Merlant                                                    |               1 |
| Adèle Haenel                                                      |               1 |
| Luàna Bajrami                                                     |               1 |
| Valeria Golino                                                    |               1 |
| Linda Cardellini                                                  |               1 |
| Sebastian Maniscalco                                              |               1 |
| Sam Rockwell                                                      |               1 |
| Caleb Landry Jones                                                |               1 |
| Jason Schwartzman                                                 |               1 |
| Rashida Jones                                                     |               1 |
| Will Sasso                                                        |               1 |
| Ajay Devgn                                                        |               1 |
| Shriya Saran                                                      |               1 |
| Rajat Kapoor                                                      |               1 |
| Haluk Bilginer                                                    |               1 |
| Melisa Sözen                                                      |               1 |
| Demet Akbag                                                       |               1 |
| Ayberk Pekcan                                                     |               1 |
| Manoj Bajpayee                                                    |               1 |
| Richa Chadha                                                      |               1 |
| Nawazuddin Siddiqui                                               |               1 |
| Tigmanshu Dhulia                                                  |               1 |
| Ricardo Darín                                                     |               1 |
| Soledad Villamil                                                  |               1 |
| Pablo Rago                                                        |               1 |
| Carla Quevedo                                                     |               1 |
| Nick Nolte                                                        |               1 |
| Joel Edgerton                                                     |               1 |
| Jennifer Morrison                                                 |               1 |
| Edward Asner                                                      |               1 |
| Jordan Nagai                                                      |               1 |
| John Ratzenberger                                                 |               1 |
| Jonah Hill                                                        |               1 |
| Margot Robbie                                                     |               1 |
| Paul Dano                                                         |               1 |
| Ciarán Hinds                                                      |               1 |
| Martin Stringer                                                   |               1 |
| Ivana Baquero                                                     |               1 |
| Ariadna Gil                                                       |               1 |
| Sergi López                                                       |               1 |
| Maribel Verdú                                                     |               1 |
| Rupert Graves                                                     |               1 |
| Stephen Rea                                                       |               1 |
| Soha Ali Khan                                                     |               1 |
| Siddharth                                                         |               1 |
| Bruno Ganz                                                        |               1 |
| Ulrich Matthes                                                    |               1 |
| Juliane Köhler                                                    |               1 |
| Chieko Baishô                                                     |               1 |
| Takuya Kimura                                                     |               1 |
| Tatsuya Gashûin                                                   |               1 |
| Akihiro Miwa                                                      |               1 |
| Jason Flemyng                                                     |               1 |
| Dexter Fletcher                                                   |               1 |
| Nick Moran                                                        |               1 |
| Kim Basinger                                                      |               1 |
| Val Kilmer                                                        |               1 |
| Jon Voight                                                        |               1 |
| Sharon Stone                                                      |               1 |
| Gene Hackman                                                      |               1 |
| Richard Harris                                                    |               1 |
| Sean Connery                                                      |               1 |
| Alison Doody                                                      |               1 |
| Denholm Elliott                                                   |               1 |
| Hitoshi Takagi                                                    |               1 |
| Noriko Hidaka                                                     |               1 |
| Chika Sakamoto                                                    |               1 |
| Shigesato Itoi                                                    |               1 |
| Alan Rickman                                                      |               1 |
| Bonnie Bedelia                                                    |               1 |
| Reginald VelJohnson                                               |               1 |
| Akira Terao                                                       |               1 |
| Jinpachi Nezu                                                     |               1 |
| Daisuke Ryû                                                       |               1 |
| Cathy Moriarty                                                    |               1 |
| Frank Vincent                                                     |               1 |
| Alisa Freyndlikh                                                  |               1 |
| Aleksandr Kaydanovskiy                                            |               1 |
| Eric Idle                                                         |               1 |
| John Huston                                                       |               1 |
| Perry Lopez                                                       |               1 |
| Ivan Lapikov                                                      |               1 |
| Nikolay Sergeev                                                   |               1 |
| Steve McQueen                                                     |               1 |
| James Garner                                                      |               1 |
| Gregory Peck                                                      |               1 |
| John Megna                                                        |               1 |
| Frank Overton                                                     |               1 |
| Rosemary Murphy                                                   |               1 |
| Eijirô Tôno                                                       |               1 |
| Yôko Tsukasa                                                      |               1 |
| Spencer Tracy                                                     |               1 |
| Burt Lancaster                                                    |               1 |
| Richard Widmark                                                   |               1 |
| Marilyn Monroe                                                    |               1 |
| Tony Curtis                                                       |               1 |
| George Raft                                                       |               1 |
| Victor Sjöström                                                   |               1 |
| Ingrid Thulin                                                     |               1 |
| Max von Sydow                                                     |               1 |
| Bengt Ekerot                                                      |               1 |
| Nils Poppe                                                        |               1 |
| Ray Milland                                                       |               1 |
| Robert Cummings                                                   |               1 |
| John Williams                                                     |               1 |
| Chishû Ryû                                                        |               1 |
| Chieko Higashiyama                                                |               1 |
| Sô Yamamura                                                       |               1 |
| Setsuko Hara                                                      |               1 |
| Machiko Kyô                                                       |               1 |
| Masayuki Mori                                                     |               1 |
| Bette Davis                                                       |               1 |
| Anne Baxter                                                       |               1 |
| Celeste Holm                                                      |               1 |
| Walter Huston                                                     |               1 |
| Tim Holt                                                          |               1 |
| Bruce Bennett                                                     |               1 |
| Carole Lombard                                                    |               1 |
| Jack Benny                                                        |               1 |
| Robert Stack                                                      |               1 |
| Felix Bressart                                                    |               1 |
| Mack Swain                                                        |               1 |
| Tom Murray                                                        |               1 |
| Kathryn McGuire                                                   |               1 |
| Joe Keaton                                                        |               1 |
